Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
35004,AL-06,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
35005,AL-07,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
35010,AL-02,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
35010,AL-03,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
35016,AL-04,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
35565,AL-05,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
36033,AL-01,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
99501,AK-00,17400,14900,16300,16850,12309,12659,13044,13978,14359,14739,14687,15059,15430
84536,AZ-01,17394,14894,16294,16844,12305,12655,13040,13974,14355,14735,14683,15055,15426
85003,AZ-04,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
85008,AZ-05,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
85012,AZ-03,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
85027,AZ-02,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
85033,AZ-07,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
85201,AZ-06,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
85602,AZ-08,17559,15059,16459,17009,12425,12775,13160,14094,14475,14855,14803,15175,15546
38041,AR-01,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
65733,AR-03,17520,15020,16420,16970,12398,12748,13133,14067,14448,14828,14776,15148,15519
71601,AR-04,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
71909,AR-02,17546,15046,16446,16996,12416,12766,13151,14085,14466,14846,14794,15166,15537
89439,CA-04,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90001,CA-34,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90001,CA-35,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90001,CA-39,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90002,CA-37,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90004,CA-31,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90004,CA-33,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90022,CA-32,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90022,CA-38,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90024,CA-30,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90025,CA-36,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90027,CA-29,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90046,CA-28,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90265,CA-24,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90274,CA-46,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90601,CA-42,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
90620,CA-40,17434,14934,16334,16884,12334,12684,13069,14003,14384,14764,14712,15084,15455
