Zip,CD110,privatepartyexcellent,privatepartyfair,privatepartygood,privatepartyverygood,min-tradeinfair,tradeinfair,max-tradeinfair,min-tradeingood,tradeingood,max-tradeingood,min-tradeinverygood,tradeinverygood,max-tradeinverygood
35004,AL-06,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
35005,AL-07,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
35010,AL-02,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
35010,AL-03,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
35016,AL-04,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
35565,AL-05,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
36033,AL-01,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
99501,AK-00,15577,13277,14577,15077,11022,11336,11686,12596,12936,13276,13236,13586,13935
84536,AZ-01,15572,13272,14572,15072,11018,11332,11682,12592,12932,13272,13232,13582,13931
85003,AZ-04,15725,13425,14725,15225,11130,11444,11794,12704,13044,13384,13344,13694,14043
85008,AZ-05,15725,13425,14725,15225,11130,11444,11794,12704,13044,13384,13344,13694,14043
85012,AZ-03,15725,13425,14725,15225,11130,11444,11794,12704,13044,13384,13344,13694,14043
85027,AZ-02,15725,13425,14725,15225,11130,11444,11794,12704,13044,13384,13344,13694,14043
85033,AZ-07,15725,13425,14725,15225,11130,11444,11794,12704,13044,13384,13344,13694,14043
85201,AZ-06,15725,13425,14725,15225,11130,11444,11794,12704,13044,13384,13344,13694,14043
85602,AZ-08,15725,13425,14725,15225,11130,11444,11794,12704,13044,13384,13344,13694,14043
38041,AR-01,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
65733,AR-03,15689,13389,14689,15189,11104,11418,11768,12678,13018,13358,13318,13668,14017
71601,AR-04,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
71909,AR-02,15714,13414,14714,15214,11121,11435,11785,12695,13035,13375,13335,13685,14034
89439,CA-04,15609,13309,14609,15109,11045,11359,11709,12619,12959,13299,13259,13609,13958
90001,CA-34,15609,13309,14609,15109,11045,11359,11709,12619,12959,13299,13259,13609,13958
90001,CA-35,15609,13309,14609,15109,11045,11359,11709,12619,12959,13299,13259,13609,13958
90001,CA-39,15609,13309,14609,15109,11045,11359,11709,12619,12959,13299,13259,13609,13958
90002,CA-37,15609,13309,14609,15109,11045,11359,11709,12619,12959,13299,13259,13609,13958
90004,CA-31,15609,13309,14609,15109,11045,11359,11709,12619,12959,13299,13259,13609,13958
